Date Time Value
20160101 2105 15.2
20160101 2110 15.5
20160101 2115 15.8
20160101 2120 15.8
20160101 2125 15.9
20160101 2130 15.8
20160101 2135 16.1
20160101 2140 16.5
20160101 2145 16.2
20160101 2150 16.4
20160101 2155 16.5
20160101 2200 16.3
20160101 2205 16.9
20160101 2210 16.9
20160101 2215 16.9
20160101 2220 16.8
20160101 2225 16.7
20160101 2230 16.9
20160101 2235 16.9
20160101 2240 17.0
20160101 2245 16.6
20160101 2250 16.6
20160101 2255 16.7
20160101 2300 16.2
20160101 2305 15.8
20160101 2310 15.5
20160101 2315 15.5
20160101 2320 15.7
20160101 2325 15.6
20160101 2330 15.6
20160101 2335 15.7
20160101 2340 15.6
20160101 2345 15.4
20160101 2350 15.3
20160101 2355 15.2
20160102 0000 15.2
20160102 0005 15.1
20160102 0010 15.0
20160102 0015 14.9
20160102 0020 14.8
20160102 0025 14.7
20160102 0030 14.7
20160102 0035 14.3
20160102 0040 14.3
20160102 0045 14.2
20160102 0050 13.8
20160102 0055 13.9
20160102 0100 13.8
20160102 0105 13.5
20160102 0110 13.3
20160102 0115 12.9
20160102 0120 12.2
20160102 0125 12.1
20160102 0130 12.8
20160102 0135 13.1
20160102 0140 12.4
20160102 0145 12.5
20160102 0150 11.4
20160102 0155 12.1
20160102 0200 11.3
20160102 0205 11.1
20160102 0210 10.5
20160102 0215 11.7
20160102 0220 12.2
20160102 0225 11.4
20160102 0230 11.6
20160102 0235 10.9
20160102 0240 11.3
20160102 0245 11.3
20160102 0250 10.9
20160102 0255 10.6
20160102 0300 10.5
20160102 0305 10.6
20160102 0310 10.3
20160102 0315 10.4
20160102 0320 10.1
20160102 0325 10.0
20160102 0330 9.9
20160102 0335 10.0
20160102 0340 9.7
20160102 0345 9.6
20160102 0350 9.7
20160102 0355 9.3
20160102 0400 8.1
20160102 0405 8.5
20160102 0410 9.3
20160102 0415 8.7
20160102 0420 7.5
20160102 0425 7.5
20160102 0430 7.6
20160102 0435 6.4
20160102 0440 7.0
20160102 0445 7.6
20160102 0450 7.1
20160102 0455 6.5
20160102 0500 8.2
20160102 0505 8.3
20160102 0510 8.0
20160102 0515 7.2
20160102 0520 6.1
20160102 0525 6.7
20160102 0530 8.1
20160102 0535 7.9
20160102 0540 6.3
20160102 0545 6.9
20160102 0550 7.3
20160102 0555 7.8
20160102 0600 8.2
20160102 0605 8.5
20160102 0610 8.4
20160102 0615 7.5
20160102 0620 7.5
20160102 0625 8.0
20160102 0630 8.1
20160102 0635 8.0
20160102 0640 7.0
20160102 0645 8.1
20160102 0650 7.4
20160102 0655 6.2
20160102 0700 6.6
20160102 0705 6.9
20160102 0710 6.2
20160102 0715 6.0
20160102 0720 6.6
20160102 0725 6.9
20160102 0730 6.6
20160102 0735 6.3
20160102 0740 6.6
20160102 0745 7.1
20160102 0750 6.7
20160102 0755 7.6
20160102 0800 7.8
20160102 0805 8.2
20160102 0810 8.5
20160102 0815 8.4
20160102 0820 8.0
20160102 0825 8.6
20160102 0830 7.3
20160102 0835 7.4
20160102 0840 7.2
20160102 0845 7.9
20160102 0850 7.6
20160102 0855 6.5
20160102 0900 6.1
20160102 0905 6.0
20160102 0910 6.6
20160102 0915 6.6
20160102 0920 6.9
20160102 0925 6.8
20160102 0930 7.1
20160102 0935 7.3
20160102 0940 6.7
20160102 0945 6.3
20160102 0950 6.9
20160102 0955 5.9
20160102 1000 5.8
20160102 1005 6.5
20160102 1010 5.6
20160102 1015 6.5
20160102 1020 6.4
20160102 1025 5.6
20160102 1030 5.9
20160102 1035 6.5
20160102 1040 5.5
20160102 1045 5.3
20160102 1050 6.5
20160102 1055 6.9
20160102 1100 4.8
20160102 1105 5.3
20160102 1110 6.1
20160102 1115 6.6
20160102 1120 6.0
20160102 1125 6.7
20160102 1130 5.9
20160102 1135 6.4
20160102 1140 6.8
20160102 1145 6.6
20160102 1150 6.8
20160102 1155 6.4
20160102 1200 6.1
20160102 1205 5.9
20160102 1210 6.3
20160102 1215 6.4
20160102 1220 6.6
20160102 1225 6.6
20160102 1230 6.3
20160102 1235 5.8
20160102 1240 5.3
20160102 1245 6.0
20160102 1250 6.0
20160102 1255 6.4
20160102 1300 6.6
20160102 1305 6.9
20160102 1310 6.4
20160102 1315 4.7
20160102 1320 4.6
20160102 1325 5.3
20160102 1330 5.6
20160102 1335 6.3
20160102 1340 7.0
20160102 1345 6.3
20160102 1350 6.4
20160102 1355 6.1
20160102 1400 5.4
20160102 1405 5.5
20160102 1410 5.5
20160102 1415 5.6
20160102 1420 5.6
20160102 1425 6.3
20160102 1430 6.0
20160102 1435 5.5
20160102 1440 5.9
20160102 1445 6.3
20160102 1450 6.1
20160102 1455 6.1
20160102 1500 6.1
20160102 1505 5.9
20160102 1510 6.2
20160102 1515 6.8
20160102 1520 5.4
20160102 1525 5.5
20160102 1530 5.9
20160102 1535 6.0
20160102 1540 4.6
20160102 1545 4.4
20160102 1550 5.2
20160102 1555 5.9
20160102 1600 7.1
20160102 1605 7.0
20160102 1610 7.0
20160102 1615 8.0
20160102 1620 8.2
20160102 1625 8.2
20160102 1630 8.4
20160102 1635 8.8
20160102 1640 8.8
20160102 1645 9.3
20160102 1650 9.5
20160102 1655 9.6
20160102 1700 10.0
20160102 1705 11.4
20160102 1710 12.1
20160102 1715 11.7
20160102 1720 11.8
20160102 1725 11.8
20160102 1730 11.7
20160102 1735 12.2
20160102 1740 13.3
20160102 1745 14.0
20160102 1750 14.2
20160102 1755 14.6
20160102 1800 14.4
20160102 1805 14.2
20160102 1810 14.2
20160102 1815 14.2
20160102 1820 14.0
20160102 1825 14.1
20160102 1830 14.3
20160102 1835 14.3
20160102 1840 14.4
20160102 1845 14.2
20160102 1850 14.2
20160102 1855 14.2
20160102 1900 14.3
20160102 1905 14.5
20160102 1910 14.5
20160102 1915 14.3
20160102 1920 14.4
20160102 1925 14.3
20160102 1930 14.4
20160102 1935 14.7
20160102 1940 14.8
20160102 1945 14.7
20160102 1950 14.6
20160102 1955 14.8
20160102 2000 15.1
20160102 2005 15.4
20160102 2010 15.2
20160102 2015 15.2
20160102 2020 15.2
20160102 2025 15.3
20160102 2030 15.2
20160102 2035 15.2
20160102 2040 15.3
20160102 2045 15.8
20160102 2050 16.0
20160102 2055 16.0
20160102 2100 15.7
20160102 2105 15.5
20160102 2110 15.7
20160102 2115 15.5
20160102 2120 15.9
20160102 2125 15.7
20160102 2130 15.6
20160102 2135 15.7
20160102 2140 15.9
20160102 2145 15.8
20160102 2150 15.5
20160102 2155 15.8
20160102 2200 15.8
20160102 2205 16.3
20160102 2210 15.8
20160102 2215 15.9
20160102 2220 16.4
20160102 2225 15.9
20160102 2230 15.8
20160102 2235 16.3
20160102 2240 16.2
20160102 2245 15.8
20160102 2250 15.7
20160102 2255 15.5
20160102 2300 15.6
20160102 2305 15.5
20160102 2310 15.4
20160102 2315 15.3
20160102 2320 15.1
20160102 2325 15.1
20160102 2330 15.1
20160102 2335 15.1
20160102 2340 15.1
20160102 2345 15.1
20160102 2350 15.1
20160102 2355 15.0
20160103 0000 15.0
20160103 0005 14.9
20160103 0010 14.9
20160103 0015 14.8
20160103 0020 14.7
20160103 0025 14.6
20160103 0030 14.5
20160103 0035 14.5
20160103 0040 14.4
20160103 0045 14.5
20160103 0050 14.5
20160103 0055 14.3
20160103 0100 14.3
20160103 0105 13.8
20160103 0110 13.9
20160103 0115 13.8
20160103 0120 13.6
20160103 0125 13.5
20160103 0130 13.2
20160103 0135 13.1
20160103 0140 13.3
20160103 0145 13.1
20160103 0150 12.9
20160103 0155 12.9
20160103 0200 12.9
20160103 0205 12.8
20160103 0210 12.6
20160103 0215 12.6
20160103 0220 12.4
20160103 0225 12.5
20160103 0230 12.5
20160103 0235 12.5
20160103 0240 12.1
20160103 0245 11.4
20160103 0250 11.0
20160103 0255 10.7
20160103 0300 10.7
20160103 0305 10.6
20160103 0310 10.5
20160103 0315 10.1
20160103 0320 10.0
20160103 0325 10.0
20160103 0330 9.8
20160103 0335 10.0
20160103 0340 10.2
20160103 0345 10.2
20160103 0350 10.1
20160103 0355 10.3
20160103 0400 10.1
20160103 0405 10.5
20160103 0410 11.1
20160103 0415 12.3
20160103 0420 13.1
20160103 0425 13.3
20160103 0430 13.3
20160103 0435 13.3
20160103 0440 13.3
20160103 0445 13.4
20160103 0450 13.4
20160103 0455 13.4
20160103 0500 13.3
20160103 0505 13.3
20160103 0510 12.6
20160103 0515 12.5
20160103 0520 12.2
20160103 0525 12.1
20160103 0530 11.7
20160103 0535 11.6
20160103 0540 11.7
20160103 0545 11.6
20160103 0550 11.6
20160103 0555 11.6
20160103 0600 11.4
20160103 0605 11.5
20160103 0610 11.7
20160103 0615 11.7
20160103 0620 11.6
20160103 0625 11.8
20160103 0630 11.9
20160103 0635 11.9
20160103 0640 11.8
20160103 0645 11.6
20160103 0650 11.7
20160103 0655 11.8
20160103 0700 11.9
20160103 0705 11.9
20160103 0710 11.6
20160103 0715 11.7
20160103 0720 11.8
20160103 0725 11.9
20160103 0730 11.9
20160103 0735 11.8
20160103 0740 11.9
20160103 0745 11.9
20160103 0750 11.9
20160103 0755 11.9
20160103 0800 11.9
20160103 0805 11.9
20160103 0810 11.9
20160103 0815 11.7
20160103 0820 11.7
20160103 0825 11.6
20160103 0830 11.5
20160103 0835 11.4
20160103 0840 11.3
20160103 0845 11.4
20160103 0850 11.4
20160103 0855 11.3
20160103 0900 11.4
20160103 0905 11.5
20160103 0910 11.5
20160103 0915 11.6
20160103 0920 11.6
20160103 0925 11.4
20160103 0930 11.4
20160103 0935 11.4
20160103 0940 11.3
20160103 0945 11.1
20160103 0950 10.8
20160103 0955 10.6
20160103 1000 10.5
20160103 1005 10.3
20160103 1010 10.2
20160103 1015 10.2
20160103 1020 10.1
20160103 1025 9.9
20160103 1030 9.9
20160103 1035 9.9
20160103 1040 9.7
20160103 1045 9.7
20160103 1050 9.8
20160103 1055 9.9
20160103 1100 9.9
20160103 1105 10.0
20160103 1110 10.0
20160103 1115 9.9
20160103 1120 10.1
20160103 1125 10.1
20160103 1130 10.1
20160103 1135 10.0
20160103 1140 9.8
20160103 1145 9.8
20160103 1150 9.8
20160103 1155 9.9
20160103 1200 10.2
20160103 1205 10.3
20160103 1210 10.3
20160103 1215 10.4
20160103 1220 10.5
20160103 1225 10.5
20160103 1230 10.6
20160103 1235 10.6
20160103 1240 10.6
20160103 1245 10.7
20160103 1250 10.9
20160103 1255 10.7
20160103 1300 10.6
20160103 1305 10.8
20160103 1310 10.9
20160103 1315 10.8
20160103 1320 10.9
20160103 1325 10.9
20160103 1330 10.9
20160103 1335 11.0
20160103 1340 11.1
20160103 1345 11.0
20160103 1350 10.9
20160103 1355 10.8
20160103 1400 10.6
20160103 1405 10.5
20160103 1410 10.5
20160103 1415 10.5
20160103 1420 10.6
20160103 1425 10.8
20160103 1430 10.7
20160103 1435 10.9
20160103 1440 10.9
20160103 1445 10.9
20160103 1450 10.8
20160103 1455 10.7
20160103 1500 10.8
20160103 1505 10.8
20160103 1510 10.9
20160103 1515 10.6
20160103 1520 10.9
20160103 1525 10.9
20160103 1530 11.0
20160103 1535 11.2
20160103 1540 11.3
20160103 1545 11.5
20160103 1550 11.6
20160103 1555 11.7
20160103 1600 12.0
20160103 1605 12.3
20160103 1610 12.7
20160103 1615 12.7
20160103 1620 12.7
20160103 1625 12.8
20160103 1630 12.9
20160103 1635 13.2
20160103 1640 13.9
20160103 1645 14.1
20160103 1650 14.0
20160103 1655 13.9
20160103 1700 13.8
20160103 1705 13.8
20160103 1710 13.8
20160103 1715 13.8
20160103 1720 13.7
20160103 1725 13.7
20160103 1730 13.9
20160103 1735 14.0
20160103 1740 14.2
20160103 1745 14.3
20160103 1750 14.5
20160103 1755 14.5
20160103 1800 14.5
20160103 1805 14.7
20160103 1810 14.8
20160103 1815 14.6
20160103 1820 14.6
20160103 1825 14.9
20160103 1830 15.1
20160103 1835 15.3
20160103 1840 15.3
20160103 1845 15.3
20160103 1850 15.4
20160103 1855 15.5
20160103 1900 15.5
20160103 1905 15.5
20160103 1910 15.4
20160103 1915 15.3
20160103 1920 15.4
20160103 1925 15.6
20160103 1930 15.6
20160103 1935 15.5
20160103 1940 15.7
20160103 1945 15.5
20160103 1950 15.4
20160103 1955 15.4
20160103 2000 15.7
20160103 2005 15.5
20160103 2010 15.4
20160103 2015 15.4
20160103 2020 15.1
20160103 2025 15.1
20160103 2030 15.1
20160103 2035 15.4
20160103 2040 15.2
20160103 2045 15.1
20160103 2050 14.9
20160103 2055 15.0
20160103 2100 15.0
20160103 2105 15.0
20160103 2110 15.6
20160103 2115 16.0
20160103 2120 15.9
20160103 2125 15.4
20160103 2130 15.2
20160103 2135 15.3
20160103 2140 15.8
20160103 2145 15.6
20160103 2150 15.7
20160103 2155 15.8
20160103 2200 15.5
20160103 2205 15.7
20160103 2210 16.1
20160103 2215 16.0
20160103 2220 16.1
20160103 2225 16.0
20160103 2230 16.3
20160103 2235 16.1
20160103 2240 15.7
20160103 2245 15.5
20160103 2250 15.6
20160103 2255 15.6
20160103 2300 15.5
20160103 2305 15.4
20160103 2310 15.2
20160103 2315 15.0
20160103 2320 15.0
20160103 2325 15.2
20160103 2330 15.3
20160103 2335 15.0
20160103 2340 15.0
20160103 2345 15.0
20160103 2350 15.0
20160103 2355 15.0
20160104 0000 15.0
20160104 0005 15.0
20160104 0010 15.0
20160104 0015 14.9
20160104 0020 14.9
20160104 0025 15.0
20160104 0030 14.9
20160104 0035 14.9
20160104 0040 14.9
20160104 0045 14.9
20160104 0050 14.9
20160104 0055 14.9
20160104 0100 14.9
20160104 0105 14.9
20160104 0110 14.9
20160104 0115 14.9
20160104 0120 14.9
20160104 0125 14.9
20160104 0130 14.9
20160104 0135 14.9
20160104 0140 14.9
20160104 0145 14.8
20160104 0150 14.8
20160104 0155 14.8
20160104 0200 14.8
20160104 0205 14.9
20160104 0210 14.9
20160104 0215 14.9
20160104 0220 14.9
20160104 0225 15.0
20160104 0230 15.0
20160104 0235 15.0
20160104 0240 15.0
20160104 0245 14.9
20160104 0250 15.0
20160104 0255 14.9
20160104 0300 14.9
20160104 0305 14.9
20160104 0310 14.8
20160104 0315 14.8
20160104 0320 14.8
20160104 0325 14.9
20160104 0330 14.9
20160104 0335 14.8
20160104 0340 14.9
20160104 0345 14.8
20160104 0350 14.9
20160104 0355 14.8
20160104 0400 14.8
20160104 0405 14.9
20160104 0410 14.8
20160104 0415 14.9
20160104 0420 14.8
20160104 0425 14.8
20160104 0430 14.8
20160104 0435 14.8
20160104 0440 14.7
20160104 0445 14.7
20160104 0450 14.7
20160104 0455 14.6
20160104 0500 14.4
20160104 0505 14.4
20160104 0510 14.5
20160104 0515 14.5
20160104 0520 14.5
20160104 0525 14.5
20160104 0530 14.5
20160104 0535 14.5
20160104 0540 14.5
20160104 0545 14.6
20160104 0550 14.6
20160104 0555 14.6
20160104 0600 14.7
20160104 0605 14.7
20160104 0610 14.7
20160104 0615 14.8
20160104 0620 14.9
20160104 0625 14.9
20160104 0630 14.8
20160104 0635 14.8
20160104 0640 14.9
20160104 0645 14.8
20160104 0650 14.9
20160104 0655 15.0
20160104 0700 15.0
20160104 0705 14.9
20160104 0710 14.8
20160104 0715 14.7
20160104 0720 14.7
20160104 0725 14.6
20160104 0730 14.6
20160104 0735 14.7
20160104 0740 14.7
20160104 0745 14.8
20160104 0750 14.8
20160104 0755 14.7
20160104 0800 14.7
20160104 0805 14.9
20160104 0810 15.2
20160104 0815 15.3
20160104 0820 15.3
20160104 0825 15.4
20160104 0830 15.4
20160104 0835 15.5
20160104 0840 15.4
20160104 0845 15.4
20160104 0850 15.4
20160104 0855 15.4
20160104 0900 15.5
20160104 0905 15.5
20160104 0910 15.5
20160104 0915 15.5
20160104 0920 15.5
20160104 0925 15.5
20160104 0930 15.4
20160104 0935 15.4
20160104 0940 15.3
20160104 0945 15.4
20160104 0950 15.4
20160104 0955 15.5
20160104 1000 15.5
20160104 1005 15.5
